ARTICLE_TITLE	PUBLICATION_TITLE	ARTICLE_TEXT	CLUSTER_NUMBER	CLUSTER_LABEL
No pressure, Ashleigh, but …	The Australian	42 years since our last Australian champion is a long time Playing in front of the home crowd at the Australian Open can be daunting even for tennis champions. The careers of Pat Cash, Lleyton Hewitt, Pat Rafter and Samantha Stosur, who won slam tournaments overseas but not in Melbourne, attest to that. On Saturday night Ashleigh Barty, 23, from Springfield, west of Brisbane, experienced how good it is to win at home when she defeated Ukrainian teenager Dayana Yastremska to capture the Adelaide 	1	coronaviruses covid19; social networks; demonstrations protests
Testing time as we await the jab	The Australian	A breakout of the UK COVID variant would pose a new threat The detection in Western Australia of another case of the new, more infectious coronavirus variant that has wreaked havoc in the UK underlines the need for all states and territories to enact effective precautions to prevent it escaping into the community from international quarantine hotels. These precautions must cover airline, airport, transport, hotel and medical staff. WA Premier Mark McGowan said the traveller had returned from Pol	5	disease transmission; transmission covid19; coronaviruses pandemics
Striking a balance on emissions	The Australian	A coherent national energy policy would boost investment Only three countries — Marshall Islands, Suriname and Norway — met last Sunday’s Paris Agreement deadline to lodge new plans to boost action on climate change. Those nations account for 0.1 per cent of global greenhouse gas emissions, or what China produces in 30 hours. In 2015, 195 countries signed the agreement, so the poor response is disconcerting for UN officials. But like a lot of the fine print in climate policy, what countries put 	2	climate change; national security; environmental policy
Investment is the missing piece in economic puzzle	The Australian	A cut in the company tax rate would boost jobs and growth The equities rally continues apace, with the local market hitting a record high at the close of trading on Monday. Someone should tell the Australian bourse to pull its head in: the market price to earnings ratio is at more than 18 times. Despite the less than bullish outlook for company profits and GDP growth, that won’t happen in a hurry. Frothy markets are being led by the US Federal Reserve’s easy money regime. At home, the Reserve Ba	8	gross domestic; domestic product; product gdp
Killer who haunted the nation	The Australian	A deadly chapter in our criminal history is not quite closed The monster who has haunted Perth for more than two decades finally has been brought to justice. On Thursday, Bradley Robert Edwards was convicted on two counts of murder but acquitted of a third. His despicable rampage spanned at least eight years, terrifying and transfixing the nation, especially Western Australia. His killing spree bore the hallmarks of sexually depraved predators dramatised in crime fiction. To those whose loved on	2	climate change; national security; environmental policy
Chinese immunity from truth	The Australian	A fake blame game will not foster COVID-19 co-operation The world’s largest economies, the US and China, have a crucial role to play in sorting out the COVID-19 pandemic and its global consequences. But in spreading delusional claims about the origins of the virus, China is undermining the co-operation needed. As US Secretary of State Mike Pompeo said in a “prickly” meeting with a senior Chinese diplomat, this is no time to be spreading “disinformation and outlandish rumours” about responsibilit	5	disease transmission; transmission covid19; coronaviruses pandemics
Saving lives and jobs both priorities amid pandemic	The Australian	A few positive signs are emerging in the COVID-19 battle Two-thirds of the nation’s nearly 4000 cases of coronavirus were acquired overseas — a statistic that is guiding governments’ moves to minimise further spread of the disease. With thousands more Australians set to fly in this week, the risks of them spreading the disease underline the importance of quarantining all overseas arrivals in city hotels for 14 days, cut off from family, friends and the community. Thousands are already ensconced,	5	disease transmission; transmission covid19; coronaviruses pandemics
EDITORIAL Level 2 — towards a safer ‘normal’	The Northern Advocate	A fortnight ago, New Zealanders were waking up to the prospect of their last weekend in alert level 4 “lockdown” as the Government considered dropping the country to alert level 3. After two weeks at that “restricted” contact level, we are now tantalisingly close to level 2 — the “reduced” contact phase, whereby the disease is considered contained, although the risk of community transmission remains. There is perhaps even more anticipation this weekend after Prime Minister Jacinda Ardern on Thur	5	disease transmission; transmission covid19; coronaviruses pandemics
Public interest served by exposure of state failings	The Australian	A full probe of child services in Victoria is warranted and overdue The reaction of state authorities to the publication of damning reports about child deaths in Victoria has again confirmed that secrecy, not children, is too often the main concern of bureaucrats and politicians. An urgent 2am court hearing brought by the state’s Commission for Children and Young People against Nationwide News (publisher of The Australian) and its Victorian editor, Damon Johnston, illustrates the point. The hear	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Covid-19 blame game kicks off	Wanganui Chronicle	A game of international political football is under way. The match-up mainly pits the United States Government, caught flat-footed in the pandemic and trying to pin blame on China, where Covid-19 emerged. President Donald Trump, who refuses to shoulder any responsibility himself, thinks Beijing should. “It could have been stopped in China before it started, and it wasn’t.” US criticism of Beijing’s secretive, authoritarian system is shared by two of the hardest-hit countries, Britain and France.	6	political campaigns; diplomatic consular; consular services
